Dynamics SCM Functional Consultant- Hyderabad                              ,Numaware Technologies Private Limited                                      ,"Hyderabad, Telangana, India"       ,https://in.linkedin.com/jobs/view/dynamics-scm-functional-consultant-hyderabad-at-numaware-technologies-private-limited-3816095309?refId=9IYMkm8nmJOcuEio1lk2sA%3D%3D&trackingId=xvKgun2lhSsdU5W12SV85g%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
MS Dynamic 365 Finance and Operation Technical Consultant                  ,Snapminds Global (Snapminds Technolgies LLP)                               ,"Bengaluru, Karnataka, India"       ,https://in.linkedin.com/jobs/view/ms-dynamic-365-finance-and-operation-technical-consultant-at-snapminds-global-snapminds-technolgies-llp-3813177236?refId=9IYMkm8nmJOcuEio1lk2sA%3D%3D&trackingId=B4AB79dM9Lh1ZX%2F4ceQpUA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Lead Consultant - Dynamics 365                                             ,TekWissen India                                                            ,"Hyderabad, Telangana, India"       ,https://in.linkedin.com/jobs/view/lead-consultant-dynamics-365-at-tekwissen-india-3813164989?refId=9IYMkm8nmJOcuEio1lk2sA%3D%3D&trackingId=PR%2FVmgm0JYgNAyiVWXdBRw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
D365 Production Consultant                                                 ,GeekBull Consulting                                                        ,"Hyderabad, Telangana, India"       ,https://in.linkedin.com/jobs/view/d365-production-consultant-at-geekbull-consulting-3813156165?refId=9IYMkm8nmJOcuEio1lk2sA%3D%3D&trackingId=PbEkM%2Bswb5cUrqpYqyNqDg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
BDE                                                                        ,Uptake Infotech Pvt. Ltd                                                   ,"Ahmedabad, Gujarat, India"         ,https://in.linkedin.com/jobs/view/bde-at-uptake-infotech-pvt-ltd-3813073339?refId=9IYMkm8nmJOcuEio1lk2sA%3D%3D&trackingId=1z0aaWkJYdnAvZSpx2SaIw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Computational Fluid Dynamics Engineer                                      ,EpitronX                                                                   ,"Pune, Maharashtra, India"          ,https://in.linkedin.com/jobs/view/computational-fluid-dynamics-engineer-at-epitronx-3813193078?refId=9IYMkm8nmJOcuEio1lk2sA%3D%3D&trackingId=4AWXuvnjC8NTT6UFFh2khA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Microsoft Dynamics 365 F&O Developer                                       ,RapidBrains                                                                ,"Bengaluru, Karnataka, India"       ,https://in.linkedin.com/jobs/view/microsoft-dynamics-365-f-o-developer-at-rapidbrains-3813182067?refId=yb4XDWgPDzDcP4R3tbvx9w%3D%3D&trackingId=cJBMSAIfqVpo4%2FdeM0fSAg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Microsoft Dynamics Engineer                                                ,Talent Smart                                                               ,"Hyderabad, Telangana, India"       ,https://in.linkedin.com/jobs/view/microsoft-dynamics-engineer-at-talent-smart-3813061309?refId=yb4XDWgPDzDcP4R3tbvx9w%3D%3D&trackingId=96nabbT4Pi9Geo0E3BQ7mw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
GPS_TC_FO_Getinz                                                           ,Getinz                                                                     ,"Chennai, Tamil Nadu, India"        ,https://in.linkedin.com/jobs/view/gps-tc-fo-getinz-at-getinz-3817406529?refId=yb4XDWgPDzDcP4R3tbvx9w%3D%3D&trackingId=PSoAHEfRVgSX0Np7T9nnAA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Microsoft Dynamics Consultant                                              ,VAYUZ Technologies                                                         ,"Mumbai, Maharashtra, India"        ,https://in.linkedin.com/jobs/view/microsoft-dynamics-consultant-at-vayuz-technologies-3816331423?refId=yb4XDWgPDzDcP4R3tbvx9w%3D%3D&trackingId=y5JErvbUI8h3uniVJJcLdA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
